neighbourhood,latitude,longitude,neighbourhood_group
Paquetá,-22.76423161784222,-43.11123265758744,Paquetá
Freguesia (Ilha),-22.784674265512365,-43.16873210348013,Ilha do Governador
Bancários,-22.79245050038046,-43.180994104672784,Ilha do Governador
Galeão,-22.80781077420843,-43.236395107003005,Ilha do Governador
Portuguesa,-22.799774720082095,-43.20721561994059,Ilha do Governador
Barros Filho,-22.83496100477428,-43.36416672058039,Pavuna
Tauá,-22.797700113397863,-43.1866464442446,Ilha do Governador
Flamengo,-22.934710781954674,-43.17418204972766,Zona Sul
Moneró,-22.796429204215777,-43.19759861389621,Ilha do Governador
Campo Grande,-22.88245785448513,-43.55022952624804,Campo Grande
Jardim América,-22.81025709177148,-43.32335379187596,Penha
Vigário Geral,-22.80902209344595,-43.31021646795761,Penha
Cocotá,-22.804117406743952,-43.180412521198086,Ilha do Governador
Jardim Carioca,-22.805672456120156,-43.19300039299783,Ilha do Governador
Pavuna,-22.812686970311017,-43.360104735728896,Pavuna
Parada de Lucas,-22.815694662849747,-43.30085380048468,Penha
Cordovil,-22.81892452229838,-43.29268320621141,Penha
Jardim Guanabara,-22.8128687571129,-43.20205745949093,Ilha do Governador
Parque Colúmbia,-22.81421287045919,-43.34198432738094,Pavuna
Praia da Bandeira,-22.810456150350376,-43.17960240608538,Ilha do Governador
Pitangueiras,-22.816953653518404,-43.17999210024179,Ilha do Governador
Penha Circular,-22.83127285366351,-43.28581354634351,Penha
Bangu,-22.857498314883813,-43.48508756308416,Bangu
Cacuia,-22.822279044607104,-43.18379616541452,Ilha do Governador
Irajá,-22.8350855934604,-43.32597132771049,Madureira
Coelho Neto,-22.832110316247903,-43.35043752473099,Pavuna
Anchieta,-22.823903796233125,-43.39974736378031,Pavuna
Acari,-22.82216082136515,-43.341001110740734,Pavuna
Costa Barros,-22.824988281006277,-43.36999405975487,Pavuna
Guadalupe,-22.83886219126798,-43.3754098549593,Pavuna
Brás de Pina,-22.831141980134188,-43.2972885805024,Penha
Penha,-22.837928976234483,-43.27600336297336,Penha
Zumbi,-22.821115765672378,-43.17601439632832,Ilha do Governador
Ribeira,-22.82340875686182,-43.16920894177059,Ilha do Governador
Parque Anchieta,-22.836255172680826,-43.41524515527519,Pavuna
Vista Alegre,-22.830153416187446,-43.31499885469241,Madureira
Ricardo de Albuquerque,-22.837383692118987,-43.39706304589202,Pavuna
Colégio,-22.83936032957796,-43.33611132701016,Madureira
Honório Gurgel,-22.847124826956204,-43.35657982786466,Madureira
Olaria,-22.847586678286845,-43.26994047983021,Ramos
Vila da Penha,-22.843401752440275,-43.31010979221295,Madureira
Maré,-22.8597971209532,-43.24237177743333,Ramos
Vila Militar,-22.86148814645848,-43.40327197639196,Realengo
Cidade Universitária,-22.85411723170148,-43.22822123828973,Ilha do Governador
Rocha Miranda,-22.849952583455032,-43.34645783794322,Madureira
Ramos,-22.852077309451268,-43.25622051872188,Ramos
Realengo,-22.881002860857613,-43.433711437276976,Realengo
Vila Kosmos,-22.854019796418907,-43.30345589946461,Madureira
Marechal Hermes,-22.85929980179739,-43.37069524613886,Madureira
Vicente de Carvalho,-22.857181580425586,-43.3156122450666,Madureira
Paciência,-22.893465342960663,-43.63870060500532,Santa Cruz
Engenho da Rainha,-22.86303806378977,-43.294214108121565,Inhaúma
Turiaçú,-22.861711084029448,-43.3420966397662,Madureira
Complexo do Alemão,-22.86132882211473,-43.27359961920285,Inhaúma
Vaz Lobo,-22.858494802661696,-43.32839166434661,Madureira
Padre Miguel,-22.879055643595507,-43.449640894087565,Bangu
Bento Ribeiro,-22.86704088884522,-43.36067182646321,Madureira
Bonsucesso,-22.865931589836677,-43.25380287688809,Ramos
Inhaúma,-22.87193674709033,-43.28178335840794,Inhaúma
Tomás Coelho,-22.867174110597404,-43.30601077684911,Inhaúma
Madureira,-22.87236730718911,-43.33656558679708,Madureira
Osvaldo Cruz,-22.871547109925988,-43.350810460110495,Madureira
Santa Cruz,-22.91646971315636,-43.70636751818047,Santa Cruz
Santíssimo,-22.874389978698368,-43.520309674730285,Campo Grande
Magalhães Bastos,-22.87254646368401,-43.41364591536331,Realengo
Senador Camará,-22.89679257123721,-43.48982814874945,Bangu
Cavalcanti,-22.870737314684835,-43.316732825256665,Madureira
Campo dos Afonsos,-22.87841465568427,-43.383256155595085,Realengo
Higienópolis,-22.873894998299168,-43.26178062688724,Inhaúma
Abolição,-22.88596979559508,-43.299412385602345,Méier
Manguinhos,-22.880557172302037,-43.24578965607693,Ramos
Engenheiro Leal,-22.874471091143334,-43.3254751818137,Madureira
Saúde,-22.897271828735164,-43.18429205556535,Centro
Pilares,-22.879077097652036,-43.29576399810339,Méier
Del Castilho,-22.87977575475582,-43.27208487782016,Inhaúma
Jacarezinho,-22.887507927819208,-43.25765409142309,Méier
Taquara,-22.921756979244243,-43.38453421405012,Jacarepaguá
Piedade,-22.893708103077092,-43.312372464831306,Méier
Cascadura,-22.885105974872385,-43.32996396178552,Madureira
Vila Valqueire,-22.887927446555143,-43.36704427960633,Jacarepaguá
Maria da Graça,-22.88308794923499,-43.26381255801197,Inhaúma
Quintino Bocaiúva,-22.89509831672265,-43.32468536102969,Madureira
Todos os Santos,-22.89485426249054,-43.28503942530225,Méier
Jardim Sulacap,-22.895853286619413,-43.39399076287207,Realengo
Campinho,-22.885116846088803,-43.34732659527758,Madureira
Senador Vasconcelos,-22.89442662705188,-43.53005093521062,Campo Grande
Cosmos,-22.908162019021685,-43.61291395773687,Campo Grande
Cachambi,-22.88985314306488,-43.27416169031429,Méier
Praça Seca,-22.899869464559416,-43.35235046031845,Jacarepaguá
Benfica,-22.89215509692092,-43.24037127170784,Centro
Santo Cristo,-22.90091757904245,-43.2036680326198,Centro
Centro,-22.906666776731107,-43.178687216890665,Centro
Engenho de Dentro,-22.90230420218256,-43.29611058958824,Méier
Sampaio,-22.902503345245208,-43.26028520705631,Méier
São Cristóvão,-22.90040814955546,-43.22250210366907,Tijuca
Vasco da Gama,-22.89139953227014,-43.22674795238138,Centro
Inhoaíba,-22.91166405647415,-43.59396171197506,Campo Grande
Jacaré,-22.8928425755738,-43.2572348365905,Méier
Encantado,-22.89701505340051,-43.304141545108784,Méier
Rocha,-22.899419288871982,-43.24894139316108,Méier
Méier,-22.902639258000036,-43.28199431941199,Méier
Gamboa,-22.897467087836592,-43.192911444691326,Centro
Riachuelo,-22.90298131908451,-43.255170069364816,Méier
São Francisco Xavier,-22.904172024069627,-43.24326207694308,Méier
Engenho Novo,-22.90909728784159,-43.26848240718509,Méier
Mangueira,-22.90405182565068,-43.23643810213827,Centro
Tanque,-22.913458874352912,-43.35821674838774,Jacarepaguá
Água Santa,-22.911132029196388,-43.311638290723415,Méier
Lins de Vasconcelos,-22.91429095024601,-43.28480131325991,Méier
Cidade Nova,-22.910113754650453,-43.20153279482739,Centro
Freguesia (Jacarepaguá),-22.932095221628632,-43.33886189054365,Jacarepaguá
Praça da Bandeira,-22.91086766899447,-43.21339089892098,Tijuca
Vila Isabel,-22.9154337508126,-43.24757339030375,Tijuca
Maracanã,-22.913222989969885,-43.22884328224735,Tijuca
Glória,-22.919101773838616,-43.17327644694655,Zona Sul
Rio Comprido,-22.92868461777804,-43.20884068234096,Centro
Santa Teresa,-22.932602543568173,-43.199552555105655,Centro
Estácio,-22.91681393884369,-43.20434893309348,Centro
Tijuca,-22.932992781216257,-43.23867782524437,Tijuca
Catumbi,-22.919536605133764,-43.197248219780704,Centro
Andaraí,-22.92896761044988,-43.253483344208526,Tijuca
Grajaú,-22.92930935787578,-43.27004743323924,Tijuca
Pechincha,-22.929604692483096,-43.35373455772315,Jacarepaguá
Catete,-22.92664603504376,-43.18018850374583,Zona Sul
Laranjeiras,-22.93534771787236,-43.18849291464869,Zona Sul
Guaratiba,-22.99215291993038,-43.58932787085089,Guaratiba
Vargem Grande,-22.97177808986066,-43.4918101490034,Barra da Tijuca
Alto da Boa Vista,-22.96062850637464,-43.26061473841656,Tijuca
Cosme Velho,-22.94158617687829,-43.2007353628124,Zona Sul
Cidade de Deus,-22.948097950270892,-43.36289956424391,Jacarepaguá
Sepetiba,-22.968133525794048,-43.69357347548333,Santa Cruz
Curicica,-22.95228587980535,-43.38720861465016,Jacarepaguá
Copacabana,-22.970560727700864,-43.18741213457395,Zona Sul
Leme,-22.96225121742013,-43.16480412053365,Zona Sul
Botafogo,-22.95224426634797,-43.18610180710429,Zona Sul
Urca,-22.950417820302416,-43.16184039598769,Zona Sul
Anil,-22.95704391840724,-43.33822453155866,Jacarepaguá
Jacarepaguá,-22.944235700555836,-43.38079851383827,Jacarepaguá
Camorim,-22.971514888756467,-43.43037756604955,Barra da Tijuca
